file_name,step_name,success,tokens,latency_ms,data_keys,validation_issues,error
Custom.MEXX.Report.ZEN.DischargeSummary1.cls.pdf,,true,3083,17683,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary1.cls.pdf,demographics_extractor,true,3098,12262,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary1.cls.pdf,risk_scores_extractor,true,3250,17260,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary1.cls.pdf,,true,3199,14219,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary1.cls.pdf,,true,2943,6507,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary1.cls.pdf,,true,3007,14082,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary1.cls.pdf,cross_validator,true,376,13606,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary2.cls.pdf,,true,3265,40055,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary2.cls.pdf,demographics_extractor,true,2973,16072,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary2.cls.pdf,risk_scores_extractor,true,3071,17280,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary2.cls.pdf,,true,3067,16989,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary2.cls.pdf,,true,2773,7479,functional_status | overall_assistance_needs | mobility_notes,0,
